date,province,percentage
1/3/20,Guangdong Province,0.0299
1/3/20,Anhui Province,0.0226
1/3/20,Jiangxi Province,0.02
1/3/20,Jiangsu Province,0.0192
1/3/20,Zhejiang Province,0.0164
1/3/20,Beijing,0.0158
1/3/20,Shanghai,0.0119
1/3/20,Shandong Province,0.0107
1/3/20,Chongqing,0.0103
1/3/20,Sichuan Province,0.0099
1/3/20,Guizhou Province,0.0089
1/3/20,Fujian Province,0.0084
1/3/20,Guangxi Zhuang Autonomous Region,0.0077
1/3/20,Hebei Province,0.0077
1/3/20,Shaanxi Province,0.0072
1/3/20,Yunnan Province,0.0066
1/3/20,Shanxi Province,0.0047
1/3/20,Hainan,0.0042
1/3/20,Liaoning Province,0.0032
1/3/20,Gansu province,0.0031
1/3/20,Xinjiang Uygur Autonomous Region,0.0029
1/3/20,Heilongjiang Province,0.0026
1/3/20,Tianjin,0.0023
1/3/20,Inner Mongolia Autonomous Region,0.0017
1/3/20,Jilin Province,0.0016
1/3/20,Ningxia Hui Autonomous Region,0.0008
1/3/20,Qinghai Province,0.0007
1/3/20,Tibet Autonomous Region,0.0003
1/2/20,Hubei Province,0.6133
1/2/20,Henan Province,0.0493
1/2/20,Guangdong Province,0.0376
1/2/20,Hunan Province,0.0374
1/2/20,Anhui Province,0.0258
1/2/20,Jiangxi Province,0.0238
1/2/20,Jiangsu Province,0.0228
1/2/20,Zhejiang Province,0.02
1/2/20,Beijing,0.019
1/2/20,Sichuan Province,0.0136
1/2/20,Shandong Province,0.0135
1/2/20,Shanghai,0.0135
1/2/20,Chongqing,0.0115
1/2/20,Fujian Province,0.0103
1/2/20,Shaanxi Province,0.0099
1/2/20,Guizhou Province,0.0099
1/2/20,Hebei Province,0.0098
1/2/20,Guangxi Zhuang Autonomous Region,0.0093
1/2/20,Yunnan Province,0.008
1/2/20,Hainan,0.0067
1/2/20,Shanxi Province,0.0066
1/2/20,Gansu province,0.0046
1/2/20,Liaoning Province,0.0043
1/2/20,Xinjiang Uygur Autonomous Region,0.0034
1/2/20,Heilongjiang Province,0.0032
1/2/20,Tianjin,0.0025
1/2/20,Inner Mongolia Autonomous Region,0.0021
1/2/20,Jilin Province,0.0018
1/2/20,Ningxia Hui Autonomous Region,0.0014
1/2/20,Qinghai Province,0.0011
1/2/20,Tibet Autonomous Region,0.0003
1/1/20,Hubei Province,0.7223
1/1/20,Henan Province,0.0413
1/1/20,Hunan Province,0.0309
1/1/20,Guangdong Province,0.0261
1/1/20,Anhui Province,0.0194
1/1/20,Jiangxi Province,0.0188
1/1/20,Jiangsu Province,0.0158
1/1/20,Zhejiang Province,0.0139
1/1/20,Beijing,0.0128
1/1/20,Shanghai,0.0104
1/1/20,Chongqing,0.0085
1/1/20,Shandong Province,0.0084
1/1/20,Sichuan Province,0.0083
1/1/20,Hebei Province,0.0068
1/1/20,Shaanxi Province,0.0067
1/1/20,Guizhou Province,0.0064
1/1/20,Fujian Province,0.0061
1/1/20,Yunnan Province,0.0054
1/1/20,Guangxi Zhuang Autonomous Region,0.0052
1/1/20,Hainan,0.0045
1/1/20,Shanxi Province,0.0041
1/1/20,Liaoning Province,0.0033
1/1/20,Heilongjiang Province,0.0022
1/1/20,Gansu province,0.0021
1/1/20,Tianjin,0.002
1/1/20,Xinjiang Uygur Autonomous Region,0.0018
1/1/20,Jilin Province,0.0013
1/1/20,Inner Mongolia Autonomous Region,0.0012
1/1/20,Ningxia Hui Autonomous Region,0.0006
1/1/20,Qinghai Province,0.0005
1/1/20,Tibet Autonomous Region,0.0001
